,PER,LOC,ORG,DAT
2599, آلن رب گری یه, آمریکا روسیه عراق آلمان پاکستان ترکیه آنگولا عمان امارات آذربایجان, دولت موقت مهدی بازرگان جامعه روحانیت مبارز, ۱۸ سالگی از سال ۱۹۵۳ میلادی میلادی
2600, رولان بارت آلن رب گری یه, مازندران شهرستان آمل, سپاه پاسداران کمیته انقلاب اسلامی, در سال ۱۹۹۱ میلادی در سال ۱۹۹۲ میلادی
2601, بالزاک گوستاو فلوبر, رشته کوه‌های البرز جاده هراز, مجاهدین خلق فدائیان خلق حزب توده, در سالهای ۱۹۸۹ میلادی میلادی
2602, ژان لویی ترنتینان آلن رب گری یه, استان مازندران شهر آمل پرورش ماهی, حزب جمهوری اسلامی جبهه ملی, سال ۱۹۹۷
2603, محمدتقی غیاثی, قرقیزستان ایتالیا قزاقستان قرقیزستان روسیه بلژیک کشور عمان دانمارک سانتورینی یونان وزارت صنعت ، معدن و تجارت ایران, شورای انقلاب جمهوری اسلامی, در فوریه ۱۹۹۹
2604, پرویز شهدی, فیلیپین, رادیو فردا دانشگاه تهران شورای انقلاب, دهه ۹۰
2605, مجید اسلامی, شهر مرکزی, شورای ملی مقاومت ایران حکومت جمهوری اسلامی, سال ۲۰۰۳
2606, فرانسیس بیکن, پایانه مسافربری شمال ایران, مجاهدین خلق شورای ملی مقاومت, در دسامبر سال ۲۰۰۱
2607, الیزابت اول مهردار, بلژیکی, نظام جمهوری اسلامی نظام جمهوری اسلامی, در سال ۱۹۹۶ در سال ۲۰۰۳
2608, خواهر زن ملکه الیزابت, روسیه بخش خصوصی, جنبش سبز ایران, سال ۲۰۰۳ در سال ۲۰۰۳
2609, لرد اسکس, رودهن آبعلی لاریجان جاده هراز, ویت کنگ‌ها, از دهه ۹۰
2610, ویل دورانت, ایستگاه اتوبوس, سازمان منع سلاح‌های شیمیایی, از سال ۱۹۹۵
2611, ویل دورانت گوته, جاده هراز شهر آمل شمال ایران, دانشگاه سیراکیوس, در نوامبر ۲۰۰۵
2612, ژولیوس نایرره, شهر تهران شمال ایران, آیکان, در ۲۵ ژوئیه ۱۹۹۴
2613, فاطمه, شهر اولین‌ها, وزارت نفت نفت ایران, در ۲۶ اکتبر ۱۹۹۴
2614, امیر قطر, شهر آمل فروشگاه‌های زنجیره‌ای, پادشاهی میشان, در سپتامبر ۲۰۰۰
2615, والیبال, گل, ملانصرالدین, در ۸ فوریه ۲۰۰۵
2616, واختانگ یکم, شمال ایران محمودآباد, سازمان برنامه سازمان برنامه, دوره ابتدایی ۱۰
2617, چیانگ کای‌شک, لاریجان شهر آمل, بنیاد پهلوی, پس از دوره
2618, چیانگ کای‌شک چیانگ کای‌شک, سیسیل, پارلمان, از سال ۱۹۹۷
2619, چیانگ کای شک, آفریقا شرق آسیا اقیانوسیه, رئیس مجمع تشخیص مصلحت نظام, دوره دو
2620, چن شویی بیان, اتریش اتریش, مجلس شورای اسلامی ایران, مدت پنج سال
2621, مااینگ جیو, باواریا آلمان, شرکت هواپیمایی هنکل, از یک هفته تا شش ماه
2622, شارل دوگل, وین, لوفت‌وافه, در سده ۱۳
2623, نورسلطان نظربایف, اتریش وین اروپای شرقی, هنکل, تا دو دهه
2624, پتر بزرگ, باواریا, CPU, سال در ۱۸۰۶ میلادی
2625, مسعود میرکاظمی, فرانسه بلژیک, شبکه شما, سال ۲۰۱۳
2626, حضرت سلیمان, مونیخ, روزنامه کیهان حکومت مرکزی, از تاریخ ۳۰ نوامبر ۱۹۴۷ تا ۱۴ مه ۱۹۴۸
2627, بنیتو موسولینی, اس آ, دیوان شمس, در سال ۲۰۰۸ میلادی میلادی
2628, سینت پیتر, آلمان آلمان فرانسه انگلیس, مجمع الفصحاء, سال ۲۰۰۹ میلادی میلادی
2629, میکل‌آنژ بوتیچلی, اس آ اس آ, شرکت هوانوردی داسو, در سال ۱۹۳۹ سال ۱۹۳۹ سالهای ۱۹۳۶
2630, جرج پنجم بریتانیا, اس آ اس اس اس آ, سازمان هواپیمایی کشوری, ۱۹۴۷ میلادی
2631, تیمور نادرشاه, فرانسه منطقه روهر, شرکت نورتروپ, مدت ۵ سال
2632, نصیرالدین همایون شاه طهماسب اول, ایالت بایرن, نورثروپ, از سال تا سال ۲۰۱۵
2633, شاه نظام‌الدین اولیاء, اس اس, مک‌دانل داگلاس, در سال ۲۰۱۰ سال ۲۰۰۹
2634, امیرخسرو دهلوی نظام‌الدین اولیاء, رایشتاگ, شرکت گرومن, از سال ۱۹۸۵
2635, قطب‌الدین ایبک, آمریکا رایشتاگ, نیروی هوایی شاهنشاهی ایران نیروی هوایی اسرائیل, از سال ۱۹۷۶
2636, مهاتما گاندی, پرچم وایمار ایالت‌های آلمان برلین وایمار, نیروی هوایی شاهنشاهی ایران, دسامبر ۲۰۱۶ ۱۴ سال
2637, نصیرالدین همایون, انگلستان برلین آلمان, جهاد دانشگاهی دانشگاه تهران, ۵ دسامبر
2638, محمد بیرام‌خان خان‌خانان, آلمان اتریش, وزارت نیرو وزارت نیرو, ۱۴ دسامبر
2639, نظام‌الدین اولیاء, آلمان آلمان اسیر, موسسه انتشارات دانشگاه تهران, ۱۵ دسامبر ۲۰۱۶
2640, جهان‌آرا بیگم شاه‌جهان, ژنو انگلستان آلمان فرانسه فرانسه, دانشگاه بوفالو, هشت ماه ۲ سال
2641, بیدل دهلوی امیرخسرو دهلوی, آلمان لهستان, دانشگاه پرینستون دانشگاه جورج واشینگتن, در ۱۳ سپتامبر ۱۹۹۳
2642, عبدالقادر بیدل امیرخسرو دهلوی, آلمان لهستان آلمان انگلستان فرانسه ایتالیا, حزب دموکرات حزب جمهوری‌خواه, در تاریخ ۱۷ سپتامبر ۱۹۷۸
2643, اقبال لاهوری, آلمان انگلستان, سیتو, سال ۲۰۰۴ میلادی
2644, بابر تیمور لنگ, آلمان انگلستان فرانسه ایتالیا, جنبش غیرمتعهدها, سال ۲۰۰۶ میلادی
2645, محمدعلی جناح, انگلستان آلمان انگلستان, موقوفه کارنگی برای صلح بین‌المللی بنیاد راکفلر شورای روابط خارجی, از دسامبر ۲۰۰۸ تا ژانویه ۲۰۰۹
2646, ایندیرا گاندی, سوئیس انگلستان آلمان لهستان انگلستان, شرکت مک‌دانل شرکت بوئینگ, از ژانویه ۲۰۰۳ در ۲۸ آوریل ۲۰۰۹
2647, دالایی لاما, لهستان فرانسه لهستان, جنرال داینامیکس جنرال داینامیکس, ۴۳۱ سال ۵۰ سال
2648, مانموهان سینگ, پروس غربی کشور آلمان, شرکت هواپیمایی جنرال داینامیکس لاکهید لاکهید مارتین, مهمی عصر دوره سوم عصر ۲۰۰۰ سال تا ۶۰۰۰ سال قبل
2649, میرویس‌خان هوتک گرگین‌خان گرجی, کشور لهستان لهستان, نیروی هوایی شاهنشاهی ایران جنرال داینامیکس, در اوایل هزاره دوم قبل
2650, نادر افشار, پروس شرقی, به نیروی هوایی, سال ۲۰۰۰ پیش از میلاد
2651, فرانک گری, انگلستان لهستان, دانشگاه کارنگی ملون, تا ۹ میلادی
2652, میگل ایکازا, دانتزیگ, ارتش هخامنشیان, تا ۴ سده
2653, بندهشن هندی بندهشن بزرگ, آردن, اداره کل مرکز استان, مدت ۲۵ سال
2654, آل ثانی, شمال آفریقا, رود چاری, در سال ۱۹۱۲ میلادی
2655, شیخ‌نشین, جنوب اروپا یونان, بهشت زهرای تهران, در سال ۱۹۲۰ میلادی
2656, تمیم بن حمد بن خلیفه آل ثانی حمد بن خلیفه آل ثانی, سرزمین اصلی آلمان, هواپیمائی ملی ایران, در سال ۱۹۲۴ میلادی
2657, بشار اسد, شرق آسیا, از شرکت‌های, تا سال ۱۹۳۹ میلادی
2658, حجر بن عدی, اردوگاه‌های کار اجباری, شرکت هواپیمایی بوئینگ ارتش آمریکا شرکت بوئینگ, در سال ۱۹۹۰ در سال ۱۹۹۱
2659, ابوسفیان علی حجر بن عدی, کشور آلمان اردوگاه‌های کار اجباری, شرکت هواپیمایی خطوط هوایی سراسری آمریکا, مارس ۱۹۹۲
2660, سید علی سیستانی ناصر مکارم شیرازی صافی گلپایگانی سید محمدسعید حکیم, مونیخ مونیخ, شرکت هواپیمایی ملی ایران, در اواخر سال ۱۹۹۶ در سال ۱۹۹۷
2661, عبدالملک الحوثی حجر بن عدی, مونیخ برلین, هواپیماهای تجاری بوئینگ, چهار سال در ژوئن ۲۰۰۲ رجب
2662, حجر بن عدی حجر بن عدی, ایستگاه قطار برلین, شرکت هواپیمایی ماهان ماهان ایر, ژوئیه ۲۰۰۵
2663, ابوالحسن علی بن حسین مسعودی, سیگار, شهرداری تهران سازمان فرهنگی هنری شهرداری تهران, در هزاره
2664, ابونصر فارابی ابن‌سینا, آمریکا آسیا, نهاد ریاست‌جمهوری شورای نگهبان سازمان بازرسی کل کشور, ماه مه ۲۰۱۷
2665, حبیب سماعی ابوالحسن صبا فرامرز پایور محمد حیدری پرویز مشکاتیان داریوش صفوت حسین ملک فضل‌الله توکل منصور صارمی مجید نجاحی مجید کیانی ارفع اطرایی رضا شفیعیان پشنگ کامکار جواد بطحایی اردوان کامکار سیامک آقایی حسین پرنیا, هکتار کرج, جهاد دانشگاهی جنگ دانشکده افسری, در سده پانزدهم
2666, حسین‌خان اسماعیل‌زاده علی‌اصغر بهاری مجتبی میرزاده کیهان کلهر اردشیر کامکار, دانشکده فنی, سپاهی دانش, پس از پایان دوره
2667, محمدرضا لطفی بیژن کامکار, سالن اجتماعات سالن اجتماعات سالن اجتماعات سالن اجتماعات سالن اجتماعات, مجمع جهانی اقتصاد, در سال ۱۹۰۸
2668, بیژن کامکار مسعود حبیبی, نیویورک آمریکا هند, چک برگشتی, در سال ۱۵۴۴
2669, زمان شاه سلیمان صفوی, شوش ایران, بنیاد سینمایی فارابی وزارت فرهنگ و ارشاد اسلامی, صدمه صدمه
2670, جلال آل‌احمد, آلمان مجلس آلمان, مراسم اسکار, در عصر ۱۰ هزار سال
2671, رئیس‌جمهور ایران, استانبول آلمان, سفارت فرانسه وزیر فرهنگ, تا پایان ۱۶ سالگی
2672, رئیس مجلس شورای اسلامی, آلمان باواریا باواریا, نیروی انتظامی جمهوری اسلامی ایران, تا ۳۵ سالگی
2673, سید علی خامنه‌ای روح‌الله خمینی, انگلستان فرانسه, دانشگاه جنوب کالیفرنیا, از ۲۰ سالگی
2674, هاشمی رفسنجانی محمود احمدی‌نژاد, سوئد انگلیس ایتالیا اسپانیا آمریکا, تیم فوتبال منچستریونایتد, از ۳۵ سالگی ۴۰ سالگی
2675, میرحسین موسوی, دادگاه نورنبرگ, حزب کمونیست چین آنارشیسم حزب کمونیست چین, ۹۰۳ میلادی
2676, حسن روحانی هاشمی رفسنجانی هاشمی رفسنجانی, مسجدالحرام بیت العتیق مسجدالاقصی, حزب کمونیست چین ارتش امپراتوری ژاپن, تا اواسط قرن ۱۹ میلادی
2677, هاشمی بهرمانی, مسجد پیامبر, دانشگاه نورث وسترن دانشگاه کلمبیا, ۱۵۰۰ سال
2678, سید حسین طباطبایی بروجردی روح‌الله خمینی سید محمد محقق داماد محمدرضا گلپایگانی سید محمدکاظم شریعتمداری عبدالکریم حائری یزدی شهاب‌الدین نجفی مرعشی محمدحسین طباطبائی حسین‌علی منتظری, مسجد جامع فهرج مسجد تاریخانه دامغان مسجد جامع مسجد اولیه جامع اصفهان مسجد اولیه جامع یزد مسجد اولیه جامع ساوه مسجد جامع نائین مسجد اولیه جامع اردستان, بنیاد سینمایی فارابی, قرن چهارم قبل از میلاد
2679, روح‌الله خمینی محمدرضا شاه پهلوی, دوره سلجوقی دوره ایلخانی دوره تیموری, حزب دموکراتیک کردستان احزاب سیاسی, در سال ۱۳۸۰
2680, عفت مرعشی سید محمدکاظم طباطبایی یزدی, مهر آبه, استاندارد ملی ایران, سده دوم ۳۰۰ سال
2681, محسن هاشمی رفسنجانی فائزه هاشمی رفسنجانی مهدی هاشمی رفسنجانی یاسر هاشمی رفسنجانی, مهر, دانشگاه امیرکبیر دانشگاه یزد دانشگاه گیلان دانشگاه بناب دانشگاه آزاد واحد تهران جنوب, در سال ۱۲۵۹ هجری
2682, فائزه هاشمی, جمهوری عربی سوریه حزب بعث, دانشگاه امیرکبیر دانشگاه یزد دانشگاه گیلان دانشگاه آزاد واحد تهران جنوب, فصل تاریخ
2683, فاطمه هاشمی محسن هاشمی, ادلب, دانشگاه امیرکبیر دانشگاه یزد دانشگاه گیلان, پانزده سال شب
2684, مهدی هاشمی, امسا, شرکت هواپیمایی هما, روزهای در سال ۱۳۰۸
2685, اکبر هاشمی رفسنجانی, سرزمین شام, شرکت نورتروپ نیروی هوایی ایران, در روز دوشنبه دوم بهمن ۱۳۱۲ ۵۴ سال
2686, هاشمی رفسنجانی, رقه, دانشگاه شهید ستاری, در ۱۸ سالگی
2687, هاشمی رفسنجانی رئیس مجلس شورای اسلامی ابوالحسن بنی‌صدر, ارتدوکس یونانی, نیروی هوایی ارتش جمهوری اسلامی ایران نیروی هوایی ارتش, پاییز ۱۲۵۲ ۲۲ اسفند ۱۳۰۴ در عصر دوره اوایل دوره
2688, سیدعلی خامنه‌ای میرحسین موسوی علی خامنه‌ای, عامودا مالکیه, وزارت بهداشت سازمان نظام پزشکی سازمان نظام پزشکی, در طول تاریخ مهمی
2689, مقام رهبری در ایران سیدعلی خامنه‌ای, نصیبین, تلویزیون ملی ایران, از صد سال بعد
2690, علی خامنه‌ای, مصر فرانسه, تلویزیون صدای آمریکا, در سالهای ۶۶۲ تا ۶۷۲ هجری ۱۲۶۰ میلادی
2691, علی خامنه‌ای هاشمی رفسنجانی, مصر سوریه, دانشگاه واشینگتن, تا قرن هفتم هجری
2692, محمد خاتمی, اسرائیل استان قنیطره, خبرگزاری پارس, ۴۰ سالگی مدت چهار سال یک دوره
2693, سیدعلی خامنه‌ای, رم فلورانس اسپانیا مادرید کاستیل و لئون, شورای عالی قضائی وزیر دادگستری دیوان عالی کشور دیوان عالی کشور, مدت ۱۰ سال در سال ۶۷۲ پایان
2694, میرحسین موسوی سید محمد خاتمی, آرژانتین اروگوئه بوینوس آیرس مونته‌ویدئو, رئیس دیوان عالی کشور شورای عالی قضائی, سالها سالهای سال اول
2695, اکبر گنجی, چین سنگاپور, سازمان جوانان هیتلری, در قرن یازدهم چهل روز
2696, مصطفی معین, پکن, آرمان, در سال ۱۱۴۰ هجری قمری
2697, امام‌جمعه امامت جمعه, جنوب کردستان ایران جمهوری آذربایجان نخجوان ارمنستان گرجستان عراق سوریه شمال غربی بلغارستان یونان, حزب پلنگ سیاه, ۱۲۹۰ هجری قمری
2698, مصطفی تاجزاده علی‌اکبر هاشمی رفسنجانی خاتمی میرحسین موسوی, دریای سیاه دریای مرمره دریای اژه مرز آبی, کارت گرافیک پردازنده مرکزی, ۱۹۶۵ میلادی
2699, هاشمی رفسنجانی اکبر هاشمی رفسنجانی, غرب آسیا ایران, پردازنده مرکزی پردازنده گرافیکی, ۱۹۳۷ میلادی
2700, میرحسین موسوی حیدر مصلحی, خاورمیانه جنوب شرقی اروپا, جنبش خرمدینان, تاریخ ۱۷
2701, هاشمی رفسنجانی سید محمد خاتمی سید حسن خمینی علی‌اکبر ناطق نوری حسن روحانی, جمهوری ترکیه, جنبش خرمدینان ابومسلم, سده ۷
2702, حسن روحانی رئیس‌جمهور ایران, ایران جمهوری آذربایجان ارمنستان گرجستان عراق سوریه یونان بلغارستان, خرم‌دینان, چند صفر ۴ صفر
2703, اکبر هاشمی رفسنجانی سید حسن خمینی مجید انصاری محمود امجد سید محمد موسوی بجنوردی اکبر هاشمی رفسنجانی, تنگه بسفر داردانل, IEEE, سه صفر چهار صفر
2704, محمد یزدی رئیس مجلس محمدتقی مصباح یزدی, آنکارا, بورلند, در تاریخ ۱۷ آذر
2705, عبدالله جاسبی احمدی‌نژاد, استان‌های ترکیه, فاکس قرن بیستم, از سال ۱۳۰۸
2706, عبدالله جاسبی فرهاد دانشجو محمود احمدی‌نژاد هاشمی رفسنجانی, لودیه, کمپانی فاکس قرن بیستم پارامونت پیکچرز, از اواخر سده نوزدهم میلادی
2707, فرهاد دانشجو حمید میرزاده, قسطنطنیه استانبول اسلامبول, پرسپولیس دانشگاه شیکاگو, در ۲۵ مارس ۱۶۵۵
2708, محمدجواد باهنر محمدرضا مهدوی کنی, سلجوقی ملازگرد, سازمان انرژی اتمی ایران, ۷ سال
2709, روح‌الله خمینی محمد مصدق, صفویان سلطانیه, دولت آمریکا حکومت ایران, هزار سال در یک مه
2710, هاشمی رفسنجانی امیرکبیر, جمهوری ترکیه جمهوری مجلس محور, حماس گروه فتح, در طول دوره در ۴ میلیارد سال
2711, محمود احمدی‌نژاد رئیس‌جمهور ایران, قبرس یونان, حزب محافظه‌کار کانادا پارلمان کانادا, ۲۲۵ روز
2712, مجتبی ثمره هاشمی محصولی مسعود زریبافان علیرضا علی‌احمدی, جامعه اروپا اتحادیه اروپا, کالج دارتموث, در سده یازده میلادی
2713, هاشمی رفسنجانی علی لاریجانی غلامعلی حدادعادل, ترکان سلجوقی ترکان سلجوقی شهر نیشابور شهر ری, دولت فرانسه دولت فرانسه, ۲۴۳ روز
2714, اکبر هاشمی رفسنجانی اکبر هاشمی رفسنجانی, ترکان سلجوقی فلات ایران شهرهای ایران شهر ری, ارتش سوریه, ۲۴۳ روز ۲۲۵ روز
2715, هاشمی رفسنجانی رئیس‌جمهور ایران, جمهوری ترکیه دین رسمی, نیروهای دولتی سوریه, در اوایل دهه ۱۹۶۰
2716, میرحسین موسوی محسن رضایی, ترکمن سلجوقی, دولت ملت, طلوع غروب
2717, محسن رضایی به به, ازبکستان الجزایر پاکستان ترکمنستان تونس جمهوری آذربایجان سنگاپور مالزی موریتانی لیبی, دولت ملت دولت ملت, در اوت ۱۹۶۲ در دسامبر ۱۹۶۲
2718, محسن رضایی محسن رضایی, دانشگاه‌های ترکیه, نظام فدرالی ارتش سوریه, در فوریه ۱۹۷۴
2719, محمدحسین صفارهرندی غلامحسین اژه‌ای, امامزاده یحیی, روزنامه الشرق‌الاوسط, در ۲۲ اکتبر ۱۹۷۵ مدت ۲ ساعت
2720, محسن رضایی, ترکیه رودخانه دجله, پیکسار شرکت والت دیزنی, سه روز مدت ۶۵ دقیقه
2721, محمود احمدی‌نژاد علی‌اکبر هاشمی رفسنجانی محمود احمدی‌نژاد, غازی عینتاب, مجلس خبرگان خبرگان شورای نگهبان شورای نگهبان, در ژوئیه ۱۹۹۴
2722, رئیس‌جمهور ایران توانایی, دیار بکر, وزارت اطلاعات شورای نگهبان, ۹ ساعت ۵۶ دقیقه
2723, رهبر ایران آیت‌الله خامنه‌ای, ماد ماد دیار بکر ماد, شورای نگهبان جمهوری اسلامی جمهوری اسلامی, ۹ ساعت
2724, محمود احمدی‌نژاد صادق لاریجانی رئیس قوه قضائیه ایران, دیار بکر ماد, مجلس سوم شورای نگهبان شورای نگهبان, در سال ۱۶۶۴
2725, محمود احمدی‌نژاد محمود احمدی‌نژاد حامیان, کلیسای مریم مقدس, نیروی انتظامی شورای نگهبان, در ماه مه ۲۰۱۷
2726, منوچهر متکی, استان ماردین, جمهوری اسلامی جامعه مدرسین, ۱۶ ماه
2727, فاضل لاریجانی, ایلخانیان قره قویونلو, اطلاعات دانش, در سال ۱۶۱۰
2728, سعید مرتضوی فاضل لاریجانی رئیس مجلس فاضل لاریجانی, دریاچه ارومیه پالو دریاچه وان, علوم تجربی علوم انسانی, در ۶ دسامبر ۱۹۹۵
2729, علی لاریجانی علی لاریجانی محمود احمدی‌نژاد, فنلاند, جنبش هنر و پیشه, از هفت سال
2730, رهبر ایران سید علی خامنه‌ای, سوئد دانمارک نروژ, منصوری, ۱۲ اردیبهشت
2731, فاطمه رجبی غلامحسین الهام, کشور آلمان انگلستان, تهران جنوب, چهار ماه
2732, هیلاری کلینتون, هلند بلژیک لوکزامبورگ, دل, طی دوره سی
2733, کامران دانشجو, جزیره بریتانیا شهرهای آلمان, امپراتوری بریتانیا کمپانی هند شرقی بریتانیا, تیر تیر یک روز تیر ۱۷۶ روز ۴۲۲۴ ساعت
2734, محمدرضا خباز, شهر لندن, هند شرقی کمپانی هند شرقی بریتانیا هند شرقی, ثانیه ۸۸ روز
2735, محمود احمدی‌نژاد اسحاق جهانگیری, ساوت همپتون لیورپول شفیلد منچستر, یونیورسال میوزیک, دو ماه در شب
2736, معاون اول رئیس‌جمهور ایران محمود احمدی‌نژاد اسحاق جهانگیری, سومالی مصر, سازمان برنامه سازمان برنامه و بودجه, عصر ۴ میلیارد سال
2737, غلامحسین محسنی اژه‌ای معاون اول رئیس‌جمهور رئیس قوه قضاییه, اقیانوس اطلس شمالی, بانک ملی ایران بانک ملی, یک میلیارد سال
2738, حمید بقایی اسفندیار رحیم مشایی, مجارستان اسلواکی رومانی, دانشگاه تهران وزارت امور خارجه, در اواخر سال ۲۰۰۹ تیر
2739, قاسم سلیمانی, خاورمیانه عراق, حزب موتلفه اسلامی, در سال ۱۹۷۴ میلادی تیر
2740, مهدی خورشیدی آزاد رحیم مشایی اسفندیار رحیم مشایی, آلبانی یونان, حزب رستاخیز ملت ایران حزب رستاخیز, در تیر
2741, محمود احمدی‌نژاد علی کردان, یونان جزیره کرت, حزب رستاخیز, در ۲۴ مارس ۱۹۷۵
2742, بنایی, ایتالیا رومانی فنلاند, حزب حزب رستاخیز, در سال سیاره تیر
2743, کوخردی, کیف اوکراین شبه‌جزیره کریمه روستوف, حزب رستاخیز حزب رستاخیز, ماه مه ماه نوامبر قرن
2744, اسدی طوسی علامه دهخدا, مسکو, دانشنامه آزاد, دوشنبه ۲۰ اردیبهشت ۱۳۹۵ ۹ مه ۲۰۱۶ از ساعت ۱۵:۴۱ تا ۲۳:۱۰
2745, محمد معین, شمال آفریقا شرق اروپا, شورای عالی اطلاع‌رسانی, در ساعات روز
2746, سید جعفر شهیدی محمد دبیرسیاقی, بریتانیا تهران, قانون جرایم رایانه‌ای, در سال ۱۸۸۰ ۴ سال
2747, شبنم طلوعی, جمهوری مهاباد کردستان آذربایجان, خلفای راشدین خراسان, در اوایل سال ۱۹۶۰ میلادی
2748, طاهره قره‌العین, ژاپن آلمان ژاپن ایتالیا, سپاهان اصفهان, از سال ۱۹۸۰ میلادی
2749, ابن ادریس, بریتانیا آمریکا, خروس جنگی, تا سال ۱۹۸۵ میلادی
2750, سید باقر کاظمی, بریتانیایی بندر شاهپور بندر امام خمینی شاه, جنبش مشروطیت هنر, در سال ۱۸۸۰ میلادی سال بعد
2751, سلطان یعقوب آق‌قویونلو, سنگاپور, بنیاد فردوسی کانون پرورش فکری نشر دانشگاه تهران, در ۱۵ سال اخیر
2752, نیوتون لئونارد اویلر, روسیه مسکو لنینگراد استالینگراد روسیه بریتانیا, تیم فوتبال لیدز یونایتد, در اواخر قرن بیستم در چند سال قرن اخیر
2753, حاجی میرزا آقاسی محمدشاه قاجار, ژاپن ژاپن اقیانوس آرام, فری اسکیل, از سال ۱۹۷۰
2754, حاجی میرزا آقاسی ناصرالدین‌شاه دوستمحمدخان معیرالممالک, ژاپن آلمان ایتالیا, شرکت گوگل موتورولا موبیلیتی, در دقیقه
2755, حاج شیخ حاج شیخ حاج شیخ, مراکش الجزایر, لنوو, اوایل دهه ۶۰ در سال ۱۳۶۷
2756, احمد کسروی احمد کسروی حافظ سعدی, جزیره سیسیل, جبهه ملی آزادی‌بخش ویتنام جنوبی, در سال ۱۳۷۳ در سال
2757, والتر هنینگ, کورسک, دولت آمریکا ویت کنگ‌ها ویت کنگ‌ها, سالهای ۶۹
2758, عبدالرحیم طالبوف, اقیانوس آرام جزایر سلیمان سایپان سرزمین اصلی جزیره اوکیناوا, وزیر امور خارجه ایران وزیر امور خارجه, در سالهای ۷۴ در سالهای ۷۹
2759, شیخ محمد خیابانی شیخ غلامحسین تبریزی, نورماندی آردن رود راین, حزب کمونیست کوبا, تا عصر
2760, نیکولای دوم, آلمان بریتانیا درسدن, سازمان اطلاعات و وظایف ویژه سازمان اطلاعاتی, در ۲۳ ژانویه ۲۰۱۵ میلادی
2761, اسماعیل آقا سمتقو, درسدن, سازمان اطلاعات و وظایف ویژه, در روزهای تابستان در شب
2762, سید ضیاءالدین طباطبایی, هیروشیما, هاآرتض, ۳ بهمن ۱۳۹۳
2763, سید ضیا احمد قوام, ژاپن جزایر کوریل, تراکتورسازی تبریز, در سال ۱۹۳۳ میلادی
2764, محمدتقی خان پسیان, جنوب‌شرق آسیا, قزل‌اوزن قزل‌اوزن, در سال ۱۹۷۵
2765, اسماعیل آقا سیمیتقو, نورماندی شمال آفریقا الجزایر, آکادمی سلطنتی علوم سوئد, از سال ۱۹۳۲ میلادی
2766, تیمورتاش, آسیا اقیانوس آرام هیروشیما ناگازاکی ژاپن, دانشگاه نیومکزیکو, در سال ۱۹۳۰
2767, قرهالعین, ناکازاکی هیروشیما, ارتش سفید ارتش سرخ, سال ۹
2768, سید حسن امین احمد کسروی احمد کسروی, شهرهای آلمان, ارتش سفید, در سال ۱۹۲۹ تا سال ۱۹۳۶ ۱۳۵۴ قمری تا سال ۱۹۵۱
2769, محمدعلی جزایری احمد کسروی تبریزی, اردوگاه کار اجباری, ، نشر, در سال ۱۹۹۰ میلادی
2770, یحیی ذکا احمد کسروی, وزارت کشور وزارت دارایی, سازمان جهانی یونسکو شوروی سابق, از تاریخ ۵ ژوئن ۲۰۱۷
2771, پرویز ناتل خانلری احمد کسروی, ترکیه سوئد پرتغال اسپانیا, مرکز استان مرکز استان, از سال ۱۱۳۹ تا ۱۲۲۹ هجری قمری از سال ۱۲۳۵ تا ۱۳۰۹ هجری قمری از سال ۱۳۱۹
2772, رضاشاه رکن‌الدین مختاری, اردوگاه کار اجباری داخائو, اداره اوقاف, در سال ۱۲۹۷ هجری قمری
2773, تقی ارانی, اس آ وایمار, بنیاد ایرانشناسی, در سال ۱۳۱۹
2774, محمدمهدی عبدخدایی, آمریکا استرالیا اسرائیل کانادا روسیه, دانشگاه اتاوا دانشگاه کارلتون, در سال ۱۳۳۰ در سال ۱۳۵۱ هجری
2775, سید حسین طباطبایی قمی احمد قوام, آلمان فرانسه اتریش, دانشگاه اوتاوا, در سال ۱۳۷۳ هجری قمری
2776, عبدالحسین امینی, سالتا, فرهنگستان علوم پزشکی, از دهه ۸۰
2777, سید محمدصادق روحانی سید ابوالقاسم خوئی سید حسین طباطبایی قمی, فلات ایران کوه‌های زاگرس کویر مرکزی ایران مانداب گاوخونی, انجمن سلطنتی دانشگاه اتاوا, تا سپتامبر ۲۰۱۷
2778, ولادمیر مینورسکی احمد کسروی علی دشتی, رودخانه زاینده‌رود, خبرآنلاین, در ۲۴ اوت ۲۰۰۶ میلادی
2779, احسان یارشاطر احمد کسروی, چهارمحال و بختیاری فریدونشهر رودخانه مرغاب, تیم دوم, از ده سال
2780, محمدعلی فروغی محمد قزوینی قاسم غنی, کوهرنگ, حزب کمونیست اتحاد جماهیر شوروی, در سال ۲۰۰۳ میلادی
2781, یرواند آبراهامیان احمد کسروی, تونل کوهرنگ, حزب کمونیست حزب کمونیست اتحاد شوروی, در اوایل دهه ۱۹۸۰
2782, جابر بن حیان, تالاب گاوخونی, حزب کمونیست حزب سیاسی, تا سال ۲۰۱۷ میلادی
2783, داروساز, رودخانه زاینده‌رود صفویان, انستیتو تکنولوژی فدرال زوریخ, در اوایل سال ۲۰۱۸
2784, اسدی طوسی استاد شهریار, اورگان شهرستان چادگان سد زاینده‌رود, دانشگاه مونیخ دانشگاه برلین, ۱ دقیقه
2785, مهدی کوزه کنانی, استان اصفهان سی و سه پل پل خواجو, دانشگاه مونیخ دانشگاه کیل, ۵۷ دقیقه ۲۷ دقیقه ۵۳ دقیقه ۳۷ دقیقه
