,PER,LOC,ORG,DAT
107, ذبیح‌الله صفا ابن فوطی, شهر ری تهران, دیوان عالی حزب نهضت اسلامی تاجیکستان حزب دموکراتیک حزب کمونیست, سده ۱۹ میلادی
108, شیخ صفی, برج طغرل ابن‌بابویه شهر ری دوره سلجوقیان, احزاب سیاسی, سی سال سی سال سی سال
109, ابن جوزی, هکتار, نوروز, در قرن دهم هجری
110, جامی, تیموریان, گروه موسیقی, در سال ۱۳۸۴
111, دولتشاه سمرقندی, بریتانیا فرانسه آلمان, واحد پول, مهر
112, احمد جام, نیوآرک ، نیوجرسی, نظام پادشاهی, در سال ۱۳۹۵
113, سلطان حسین بایقرا امیر علیشیر نوایی سلطان محمد فاتح, منلو پارک, حکومت مرکزی, در سال ۱۳۹۲
114, اهل‌بیت, پاریس, ترکان عثمانی, در سال ۱۳۹۱
115, ابوطالب, ایالت نیوجرسی, مجمع ملی, تیر
116, آل محمد, بلک اورنج غربی ، نیوجرسی, صندوق بین‌المللی پول, قرن بیستم
117, شاه اسماعیل صفوی سیروس شمیسا, بریتانیا, بانک مرکزی ایران, در سال ۹۹۸ هجری قمری
118, امیرخسرو دهلوی, خاورمیانه, شرکت ملی نفت ایران, در سال ۱۱۸۷ هجری قمری
119, پیامبر اسلام اهل‌بیت, جهان, شوروی سابق, در دهه ۱۳۲۰
120, سنایی, نور, طالبان, در سال ۱۳۲۷
121, سلطان یعقوب, میدان مغناطیسی, ارتش سرخ حزب کمونیست, در سال ۱۳۵۴
122, نظامی گنجوی سلطان حسین بایقرا, قبله, حزب سوسیالیست, در سال ۱۳۳۰ در سال ۱۳۳۱
123, ایزاک نیوتن, تالار مشاهیر راک اند رول, حزب کمونیست حزب کمونیست حزب کمونیست, تا اواسط دهه ۱۳۷۰
124, کریستیان هویگنس, اولم آلمان اشتوتگارت, سازمان ملل متحد شورای اروپا, از سال ۱۳۸۱ روز ۱ اردیبهشت در اول اردیبهشت ۱۳۸۹ روز اردیبهشت
125, آیزاک نیوتن, دریاچه کنستانس, مرکز شهرستان, از سال ۱۳۸۷
126, رابرت هوک, مدرسه شبانه‌روزی, اداره کل میراث فرهنگی, در سال ۱۳۸۹
127, ملکه آن, ورتمبرگ, مرکز استان, سال ۱۳۱۶ ۱۳۵۶ هجری قمری هفتصدمین سالگرد
128, ارسطو دکارت گالیله کوپرنیک کپلر, بوستون, مرکز کشور, سال ۱۳۰۰ هجری
129, یوهانس کپلر, سرطان, وزارت فرهنگ و ارشاد اسلامی, روزگار زمانه
130, تیکو براهه, پامیر, امام خمینی شازند, ۶۸۱ هجری
131, ایزاک نیوتون لایبنیتز, قبادیان میر, شرکت ملی پالایش و پخش فراورده‌های نفتی ایران, ۶۲۶ هجری
132, عیسی, خجند پنجکنت, پتروشیمی شازند, ۶۵۸ هجری مهمی
133, موسی اکرمی, ترکمنستان, پالایشگاه نفت امام خمینی, ۳۵ سال در سال ۷۲۶ هجری
134, ایرج ملک‌پور, فلات ایران, بانک پاسارگاد, در سال ۶۶۰ هجری
135, عماد خراسانی مهدی اخوان ثالث, جمهوری تاجیکستان, سازمان انرژی اتمی سازمان انرژی اتمی, سده هشتم
136, عماد خراسانی فریدون مشیری, آل افراسیاب, اتمی, در فصل چهارم در سال ۷۵۹ هجری قمری
137, عماد خراسانی, شهر دوشنبه, شرکت مخابرات, در سال ۷۹۱ هجری قمری
138, مهدی اخوان ثالث, بخارا, حکومت ملی, سال ۶۹۱ هجری قمری
139, اخوان ثالث, جمهوری‌های اتحاد جماهیر شوروی, حزب توده امپریالیسم آمریکا, سده ۷ قمری
140, حسین منزوی, شیبانیان ازبکستان, دولت موقت, در سده ۸ قمری
141, هوشنگ ابتهاج, کولاب بلجوان, خبرگزاری جمهوری اسلامی, در طی سی سال
142, عماد خراسانی اخوان ثالث, ارگ بخارا, مجلس شورای اسلامی, قرن نهم هجری در سال ۸۸۳ هجری قمری
143, ویگن, جمهوری ازبکستان, دانشگاه آزاد اسلامی, در اواخر سده ۹ قمری
144, باقر کاظمی, جمهوری خودمختار, دانشگاه آزاد, در سال ۸۸۴
145, ایرج افشار, جمهوری‌های شوروی, انجمن علمی اداره کل فرهنگ و ارشاد اسلامی, ۱۳۳۷ هجری
146, محمد مصدق, قرغان تپه, فرهنگ و ارشاد اسلامی, در سال ۸۸۷
147, حسین فاطمی, قرغان تپه ولایت ختلان, اداره کل, در سال ۸۸۵
148, ابوالقاسم کاشانی, غرم, علمی کاربردی, سال ۸۸۸ هجری
149, احمد تدین سید ابوالقاسم کاشانی, آلماتی عشق‌آباد بیشکک مشهد تهران, تیم ملی, ۲۵ دسامبر ۱۶۴۲ درگذشته ۲۰ مارس ۱۷۲۷
150, محمدرضا پهلوی, جمهوری, شرکت سایپا, در سال ۱۶۸۷
151, دکتر محمد مصدق, کوه, مرکز تحقیقاتی, در نیمه شب سال
152, میرزا هدایت‌الله وزیر دفتر میرزا تقی‌خان امیرکبیر, پامیر فرغانه, مرکز شهر, در سال
153, میرزا محمد, فرغانه شمال غربی بخش مرکزی رشته‌کوه آلای, دز, ساعات روز
154, میرزا یوسف آشتیانی, مناطق حفاظت‌شده, وزیر نیرو رود دز, یک روز
155, مظفرالدین میرزا عبدالحسین میرزا فرمانفرما, تقسیمات کشوری تاجیکستان ولایت‌های تاجیکستان ناحیه‌های تابع جمهوری ناحیه‌های تاجیکستان ولایت مختار کوهستان بدخشان ولایت سغد ولایت ختلان ناحیه‌های تابع جمهوری, اطلاعات, در سال ۱۶۶۱ در هجده سالگی
156, مظفرالدین‌شاه ناصرالدین‌شاه, ناحیه‌های تابع جمهوری غرم کولاب قرغان تپه, دانش, در سال ۱۶۶۵
157, عبدالحسین میرزا فرمانفرما اتابک اعظم مظفرالدین‌شاه, قرغان تپه ناحیه‌های تابع جمهوری, گروه‌های جدول تناوبی, چهار سال
158, میرزا زین‌العابدین تهرانی امام‌جمعه, آمو دریا, آیوپاک, در ۲۸ آوریل ۱۶۸۶
159, مظفرالدین‌شاه, دریای شمال, فلزهای قلیایی, در نیمه شب
160, دکتر محمد مصدق ایرج افشار, جمهوری آذربایجان, گروه ۱۱ جدول تناوبی, در سال ۱۶۹۶ در چند سال بعد
161, مظفرالدین‌شاه محمدعلی شاه, شاهنشاهی ایران, فلز قلیایی, در ۲۰ مارس ۱۷۲۶
162, محمدعلی شاه, دری, گروه ۷, سه ماه
163, محمد مصدق محمدعلی شاه, زندان قصر, گروه ۱۵, در سال ۱۶۶۱
164, میرزا علی‌اصغر اتابک, شهر یزد, سینتیک واکنش, در سال ۱۶۶۷ در سال ۱۶۶۸
165, وثوق‌الدوله, وزیر کشور وزیر کشور, یکای جرم اتمی, در دهه ۱۶۶۰ میلادی
166, محمود افشار یزدی علی‌اکبر دهخدا وثوق‌الدوله حسن پیرنیا, بغداد انگلیس, یگان‌های ارتش, تا سال ۱۷۰۴
167, صمصام السلطنه وثوق‌الدوله, موصل, هرمس, در سال ۱۶۰۹
168, میرزا حسن خان مشیرالدوله, مهاباد, گاز, سه سال از سال ۱۷۰۳
169, سید ضیاء قوام‌السلطنه, ترکیه بغداد تهران, دولت آمریکا, در سال ۱۷۰۵
170, رضاخان سردار سپه, خجند تبریز, امپراطوری عثمانی, ۸۴ سالگی
171, محمد مصدق سید حسن تقی‌زاده حسین علاء یحیی دولت‌آبادی سید حسن مدرس, بوداپست, دانشگاه پنسیلوانیا, در دهه ۱۹۷۰ میلادی
172, مهندس سحابی, کوه‌های اورال, جامعه ملل, میلادی
173, دکتر مصدق, دین رسمی, سازمان فضایی فدرال روسیه, سال سال ۱۲۸ سال یک
174, ساعد مراغه‌ای, اتحادیه اروپا اتحادیه اروپا, عملیات امداد و نجات, در سال ۱۵۸۲ میلادی میلادی
175, هوشنگ مهدوی, دانوب, کمیته بین‌المللی المپیک, ده روز قرن
176, حاج‌علی رزم‌آرا, اتحادیه اروپا, رژیم غذایی, سال ۲۴۲۵ روز سال میلادی یک روز ۳۲۰ سال
177, رزم‌آرا سرلشکر فضل‌الله زاهدی رزم‌آرا رزم‌آرا, اسلواکی, هنر, میلادی دو دوره
178, رزم‌آرا, رومانی, امپراتور روم, چهار سال سده سالهای
179, آیت‌الله کاشانی, اوکراین, کمیته بین‌المللی المپیک سازمان‌های بین‌المللی, میلادی ده روز روز پس از پنجشنبه ۴ اکتبر ۱۵۸۲ جمعه ۱۵ اکتبر روزهای ۵ اکتبر ۱۵۸۲ میلادی ده روز از تاریخ میلادی
180, شمس قنات‌آبادی, صربستان کرواسی اسلوونی, حزب نازی آلمان, سال ۱۲ ماه
181, دکتر بقایی شریف امامی, اتریش, اتحادیه‌های کارگری, در سال ۱۹۲۳
182, زمان شاه سید ضیاءالدین طباطبائی, کارپات, پیمان ورشو, در سال ۱۸۷۵ در سال ۱۹۱۷ میلادی
183, مهدی بازرگان, رود دانوب تیسا, کیهان, سال ۱ ژانویه
184, امیر تیمور, کرانه باختری رود دانوب, واحد پردازش مرکزی, اول ژانویه ۱۰ دی ۱۱ دی اوایل زمستان اوایل تابستان سال
185, خلیل طالقانی, پچ پایتخت فرهنگی اروپا, واحد پردازنده مرکزی شرکت اینتل, میلادی روزهای
186, فضل‌الله زاهدی, دبرسن میشکولتس سگد پچ گیور, شرکت IBM, در طول تاریخ
187, قوام, مجار, سرمایه, ایام ایام قمری در ماه‌های قمری ۲۲ مارس تا ۲۵ آوریل روزهای
188, سید ابوالقاسم کاشانی, مسیحی کاتولیک, ناول, سال سال ۱۷۸۷
189, دکتر بقایی, افغانستان, سان مایکروسیستمز هیولت پکارد نکست, بهار ۱۳۰۰
190, حسین فاطمی جهانگیر حق‌شناس, جنوب شرقی اروپا, سازمان‌های بین‌المللی, در ۳ سالگی در ۶ سالگی
191, محمدعلی موحد, صوفیه, عثمانی دولت بریتانیا, از ۹ سالگی
192, سید محمد بهبهانی حمیدرضا پهلوی, سازمان پیمان آتلانتیک شمالی اتحادیه اروپا اتحادیه اروپا, فرمانده کل, هشت ماه بعد
193, غلامحسین مصدق, صربستان مقدونیه, حکومت ایران, از سال ۱۳۳۱
194, محمود افشار طوس, یونان ترکیه, دانشگاه منچستر دانشگاه منچستر, پس از یک دوره در صبح روز شنبه ۲۸ بهمن ۱۳۸۲ ۸۲ سالگی
195, سرتیپ افشارطوس, دریای سیاه, دانشگاه منچستر, سال زمانه
196, تیمسار زاهدی ابوالقاسم کاشانی, رود دانوب, انجمن علمی, از مهدی
197, دکتر عبدالله معظمی, رشته‌کوه‌های ردوپه دریای اژه, پایتخت, ۲۲ خرداد
198, عبدالله معظمی رئیس مجلس ابوالقاسم کاشانی, صوفیه وارنا بورگاس روسه, نظام پارلمانی فدرالیسم, در سال ۱۳۲۸
199, بهبهانی, مقدونیه, دولت فدرال, در سال ۱۳۳۰
200, مظفر بقایی, اردوگاه‌های کار اجباری آلمان نازی, مستعمره بریتانیا, شصت سال
201, ابوالحسن حائری‌زاده, اروپای شرقی, نظام پارلمانی, در ۲۹ اردیبهشت سال ۱۲۵۸
202, خلیل ملکی دکتر مصدق غلامحسین صدیقی, بلوک شرق, وزیر دادگستری, ۲۶ خرداد ۱۲۶۱
203, کریم سنجابی, نیروگاه هسته‌ای, قوه مقننه, در ۱۶ اسفند ۱۲۶۴
204, همایون کاتوزیان فواد روحانی محمدعلی موحد صادق زیباکلام, کشور ترکیه, مجلس قانون‌گذاری, در سال ۱۲۷۰
205, موسی غنی نژاد مرتضی مردیها مرتضی مردیها عباس میلانی محمد قوچانی, صومعه ریل ریلا, اداره آمار کانادا, در تاریخ ۱ شهریور ۱۲۷۱
206, داریوش همایون داریوش همایون هوشنگ نهاوندی پیروز مجتهدزاده دکتر محمد مصدق, کلیسای جامع کلیسای جامع, آمار کانادا, از تاریخ ۱۶ دی ۱۲۷۳ تا ۸ اردیبهشت ۱۲۷۴ ۱۱۲ روز
207, محمد مصدق مصدق السلطنه, غرب ایران, گروه هشت سازمان همکاری اقتصادی و توسعه, در بهار ۱۲۷۳
208, حکومت محمدرضا پهلوی دکتر محمد مصدق, استان همدان نهاوند, شرق, در سال ۱۲۷۵
209, سید محمود طالقانی, همدان ملایر, جاجرود, سال ۱۲۷۵ چهار ماه
210, رسول اکرم, شهرهای ایران, شتاب, سال ۱۲۸۰ زمان ۱۹ سال
211, محمد نخشب حسین شاه‌حسینی سید رضا زنجانی, تویسرکان همدان ملایر بروجرد کنگاور, دیوانسالاری سامانی, دو ۶۴ سال
212, شاپور بختیار نهضت مقاومت ملی محمد مصدق, منطقه باستانی, جنبش جنوب ایران, در ۵ اردیبهشت ۱۲۸۴
213, احمد تدین مهدی بازرگان سحابی محمد قریب, تپه گیان منطقه زندگی آسیا, رود دالکی رود مند, قرن هجدهم میلادی
214, به به, ماد, رود مند, در تاریخ ۲۹ دی ۱۲۸۵
215, شاپور بختیار ادیب برومند, دماوند, رودخانه دالکی, در تاریخ ۱۵ دسامبر ۱۹۰۷ میلادی
216, مهدی بازرگان سید محمود طالقانی نهضت مقاومت ملی, شهر دماوند, خبرگان رهبری, دوره اول
217, عزت‌الله سحابی, شهرستان نهاوند استان همدان, مجلس خبرگان قانون اساسی, تا ظهر
218, محمدعلی همایون کاتوزیان سید حسن امین, گیان موزه لوور, مرکز حکومت, شش ماه نه ماه
219, دکتر محمد مصدق جلیل بزرگ‌مهر, غرب ایران استان همدان ملایر, اداره کل فرهنگ و ارشاد اسلامی, ده سال از چهار سال
